Valores,Cuadruple
3311,13244
532,2128
3344,13376
1925,7700
764,3056
6889,27556
-239,-956
8312,33248
2276,9104
8548,34192
14700,58800
10771,43084
7162,28648
4758,19032
3082,12328
12111,48444
1240,4960
7720,30880
6504,26016
12472,49888
12083,48332
8158,32632
1407,5628
3883,15532
11201,44804
7689,30756
3017,12068
6257,25028
2841,11364
5631,22524
13582,54328
9511,38044
8906,35624
3683,14732
5159,20636
8151,32604
758,3032
5832,23328
2594,10376
1800,7200
3273,13092
12220,48880
1108,4432
4622,18488
5585,22340
3287,13148
1585,6340
12880,51520
7115,28460
11097,44388
12903,51612
12522,50088
6416,25664
11677,46708
6887,27548
7181,28724
7030,28120
2207,8828
11233,44932
100,400
4006,16024
6053,24212
5715,22860
1133,4532
14257,57028
5613,22452
8372,33488
2460,9840
9528,38112
3939,15756
970,3880
426,1704
10960,43840
3650,14600
10654,42616
8815,35260
13953,55812
12771,51084
816,3264
12,48
5288,21152
4522,18088
10916,43664
3581,14324
5741,22964
7267,29068
10410,41640
8197,32788
7972,31888
1312,5248
-6,-24
6032,24128
12026,48104
14775,59100
4499,17996
5674,22696
10777,43108
8738,34952
11028,44112
1800,7200
11058,44232
1609,6436
4910,19640
-728,-2912
4391,17564
11623,46492
11078,44312
2644,10576
11820,47280
10994,43976
905,3620
11942,47768
14757,59028
2367,9468
3263,13052
6618,26472
13950,55800
11295,45180
-171,-684
7278,29112
14613,58452
14801,59204
12385,49540
5018,20072
14059,56236
5186,20744
2270,9080
5366,21464
10721,42884
9438,37752
7949,31796
6044,24176
14637,58548
1770,7080
7027,28108
6277,25108
4607,18428
7028,28112
10660,42640
4840,19360
2412,9648
4839,19356
9022,36088
6770,27080
36,144
9440,37760
3358,13432
4697,18788
10087,40348
14921,59684
8236,32944
7670,30680
16,64
8916,35664
7274,29096
10568,42272
10895,43580
503,2012
2411,9644
4780,19120
2754,11016
12044,48176
14653,58612
6212,24848
668,2672
1911,7644
3622,14488
14147,56588
13764,55056
4193,16772
424,1696
5344,21376
10466,41864
1190,4760
12577,50308
3680,14720
6091,24364
6311,25244
-692,-2768
3762,15048
7096,28384
6790,27160
13981,55924
10636,42544
1594,6376
1751,7004
11431,45724
9744,38976
10962,43848
7329,29316
13001,52004
13289,53156
13531,54124
4854,19416
8378,33512
7431,29724
3789,15156
-505,-2020
3177,12708
13047,52188
14193,56772
9135,36540
7723,30892
9144,36576
14232,56928
2833,11332
10172,40688
10192,40768
6398,25592
1567,6268
-22,-88
4106,16424
3960,15840
11254,45016
709,2836
10337,41348
12731,50924
11757,47028
14352,57408
3969,15876
9127,36508
8869,35476
5172,20688
1498,5992
7394,29576
4412,17648
10880,43520
11310,45240
14909,59636
5799,23196
14969,59876
4869,19476
-41,-164
9450,37800
13632,54528
13523,54092
13312,53248
1269,5076
3220,12880
11347,45388
5597,22388
13174,52696
3369,13476
8288,33152
14095,56380
755,3020
8053,32212
2808,11232
13857,55428
7099,28396
11342,45368
10991,43964
7061,28244
9100,36400
12898,51592
5096,20384
11230,44920
2671,10684
-91,-364
14261,57044
13718,54872
2294,9176
10111,40444
10044,40176
6695,26780
-851,-3404
12118,48472
2663,10652
11787,47148
13863,55452
3548,14192
2466,9864
8508,34032
10056,40224
14099,56396
10234,40936
13352,53408
12870,51480
11,44
10557,42228
2584,10336
7670,30680
-881,-3524
8082,32328
3499,13996
12784,51136
194,776
1214,4856
2066,8264
7625,30500
2258,9032
9842,39368
9615,38460
3873,15492
1549,6196
10678,42712
7419,29676
10422,41688
4451,17804
5292,21168
5097,20388
1505,6020
615,2460
2778,11112
14209,56836
171,684
4062,16248
9287,37148
8761,35044
6211,24844
7290,29160
-362,-1448
4289,17156
13730,54920
4087,16348
14410,57640
2903,11612
12006,48024
9745,38980
5767,23068
12652,50608
799,3196
4554,18216
3631,14524
8206,32824
8954,35816
14198,56792
9045,36180
153,612
10834,43336
13181,52724
-299,-1196
11691,46764
6913,27652
10749,42996
4469,17876
1982,7928
11448,45792
-729,-2916
8763,35052
13173,52692
7837,31348
13992,55968
5380,21520
12855,51420
9215,36860
8627,34508
8224,32896
11093,44372
6140,24560
13328,53312
2618,10472
6155,24620
3034,12136
8271,33084
12297,49188
4796,19184
10854,43416
1536,6144
14627,58508
4666,18664
7293,29172
-919,-3676
11067,44268
14979,59916
3040,12160
3843,15372
8250,33000
11632,46528
5702,22808
11578,46312
3962,15848
12858,51432
13470,53880
11289,45156
6717,26868
5870,23480
3387,13548
14483,57932
14762,59048
9246,36984
-511,-2044
13391,53564
-680,-2720
8148,32592
10174,40696
10003,40012
734,2936
4079,16316
6141,24564
1330,5320
5017,20068
964,3856
2676,10704
11192,44768
2377,9508
2734,10936
11006,44024
3911,15644
9323,37292
10414,41656
79,316
14207,56828
2771,11084
8790,35160
578,2312
12889,51556
9134,36536
7329,29316
5164,20656
7945,31780
7035,28140
8280,33120
2649,10596
8359,33436
1113,4452
6009,24036
2964,11856
5386,21544
6716,26864
6095,24380
3943,15772
14918,59672
14944,59776
1650,6600
11694,46776
5070,20280
6990,27960
730,2920
2103,8412
5324,21296
14953,59812
9329,37316
8862,35448
2483,9932
173,692
-643,-2572
9696,38784
1891,7564
4121,16484
12630,50520
963,3852
5814,23256
3197,12788
5649,22596
13118,52472
5887,23548
7000,28000
8758,35032
3910,15640
12577,50308
10181,40724
12046,48184
14462,57848
8802,35208
6934,27736
2327,9308
9942,39768
5317,21268
14189,56756
9176,36704
-327,-1308
2011,8044
4153,16612
12565,50260
-225,-900
13555,54220
9348,37392
4936,19744
7566,30264
6123,24492
12622,50488
822,3288
14356,57424
9931,39724
352,1408
5170,20680
3815,15260
2754,11016
7984,31936
2708,10832
12637,50548
8465,33860
4604,18416
4523,18092
9791,39164
3499,13996
993,3972
4811,19244
7018,28072
11806,47224
6452,25808
7056,28224
3338,13352
14918,59672
13530,54120
4996,19984
10823,43292
5924,23696
3406,13624
11109,44436
2791,11164
2834,11336
12067,48268
13454,53816
7574,30296
3360,13440
14702,58808
-889,-3556
1313,5252
4197,16788
13970,55880
11105,44420
7205,28820
1862,7448
2006,8024
983,3932
6855,27420
7349,29396
1124,4496
9158,36632
4559,18236
12084,48336
13218,52872
13219,52876
8926,35704
-733,-2932
11041,44164
6639,26556
8535,34140
3301,13204
11036,44144
-746,-2984
765,3060
10652,42608
4056,16224
11950,47800
9156,36624
5332,21328
10844,43376
523,2092
827,3308
13880,55520
463,1852
11728,46912
9383,37532
11492,45968
4086,16344
5289,21156
-1,-4
14480,57920
12879,51516
-404,-1616
3171,12684
8966,35864
12987,51948
13643,54572
11167,44668
13288,53152
8349,33396
1356,5424
3714,14856
567,2268
11040,44160
1043,4172
13292,53168
5310,21240
-77,-308
1663,6652
5793,23172
11876,47504
11069,44276
9681,38724
9859,39436
9256,37024
-902,-3608
3063,12252
10587,42348
9332,37328
3524,14096
7948,31792
10100,40400
1468,5872
11728,46912
7925,31700
108,432
14377,57508
6205,24820
8184,32736
2638,10552
12860,51440
3970,15880
5648,22592
12334,49336
10115,40460
3684,14736
8883,35532
14078,56312
3361,13444
9344,37376
12230,48920
-311,-1244
2737,10948
14736,58944
21,84
2674,10696
10873,43492
1478,5912
12843,51372
4118,16472
8557,34228
1264,5056
493,1972
13854,55416
6674,26696
9709,38836
12487,49948
14834,59336
3960,15840
-329,-1316
-601,-2404
2188,8752
9335,37340
975,3900
6087,24348
7120,28480
10688,42752
1494,5976
10874,43496
12688,50752
8081,32324
846,3384
13618,54472
7077,28308
12737,50948
-708,-2832
9206,36824
13552,54208
4399,17596
-89,-356
3811,15244
11532,46128
1376,5504
6286,25144
9048,36192
6834,27336
14639,58556
13550,54200
12970,51880
7732,30928
11947,47788
8211,32844
14291,57164
12606,50424
4768,19072
439,1756
1309,5236
11336,45344
7246,28984
8650,34600
1848,7392
3359,13436
3560,14240
253,1012
4699,18796
13389,53556
5219,20876
-304,-1216
2313,9252
8644,34576
9727,38908
2659,10636
7248,28992
4334,17336
10980,43920
9602,38408
12155,48620
12027,48108
3910,15640
12041,48164
-202,-808
6723,26892
13364,53456
1,4
4439,17756
5932,23728
3604,14416
3379,13516
519,2076
11367,45468
6141,24564
10779,43116
343,1372
5633,22532
13951,55804
10386,41544
3981,15924
7808,31232
1106,4424
3425,13700
11461,45844
5512,22048
9064,36256
13332,53328
8861,35444
13043,52172
13819,55276
-31,-124
4884,19536
2197,8788
-90,-360
10125,40500
6869,27476
11079,44316
6348,25392
10250,41000
8747,34988
13937,55748
12098,48392
13128,52512
10243,40972
14596,58384
3966,15864
13128,52512
6546,26184
1801,7204
12802,51208
4652,18608
5428,21712
12493,49972
10937,43748
3459,13836
12761,51044
13230,52920
7640,30560
6579,26316
527,2108
336,1344
3614,14456
14223,56892
3980,15920
964,3856
11282,45128
8349,33396
475,1900
7541,30164
12239,48956
190,760
3335,13340
13221,52884
431,1724
9520,38080
11527,46108
14968,59872
3621,14484
7718,30872
5093,20372
11837,47348
8648,34592
11364,45456
7149,28596
4012,16048
2825,11300
14712,58848
11060,44240
4854,19416
-513,-2052
13953,55812
3712,14848
4814,19256
1361,5444
14044,56176
6318,25272
-386,-1544
9941,39764
2047,8188
7114,28456
11940,47760
5219,20876
5225,20900
13559,54236
12374,49496
1914,7656
-128,-512
8785,35140
11919,47676
12453,49812
12401,49604
9265,37060
146,584
8157,32628
7824,31296
2918,11672
-89,-356
8823,35292
8437,33748
896,3584
14781,59124
2575,10300
674,2696
1334,5336
4725,18900
9526,38104
14639,58556
3008,12032
5603,22412
9088,36352
221,884
-439,-1756
12074,48296
9649,38596
4338,17352
4880,19520
11742,46968
5523,22092
221,884
6239,24956
9354,37416
599,2396
10180,40720
14302,57208
2883,11532
7311,29244
3221,12884
14998,59992
8010,32040
324,1296
13447,53788
11766,47064
12138,48552
7994,31976
7358,29432
11291,45164
13474,53896
1455,5820
7462,29848
5737,22948
12111,48444
13907,55628
4063,16252
9645,38580
14287,57148
11271,45084
11488,45952
764,3056
1777,7108
4569,18276
1555,6220
7073,28292
11583,46332
12993,51972
9515,38060
13154,52616
7979,31916
1682,6728
3246,12984
12807,51228
3910,15640
4348,17392
9822,39288
13086,52344
999,3996
6553,26212
2217,8868
1453,5812
-277,-1108
6156,24624
10158,40632
10689,42756
2481,9924
2618,10472
9995,39980
8664,34656
3480,13920
-815,-3260
11360,45440
10868,43472
7007,28028
4321,17284
-634,-2536
11723,46892
14012,56048
8540,34160
11717,46868
3237,12948
12387,49548
7432,29728
-428,-1712
111,444
10839,43356
14421,57684
9838,39352
2250,9000
9134,36536
2863,11452
1968,7872
1891,7564
2485,9940
7295,29180
980,3920
1324,5296
13258,53032
10994,43976
8597,34388
663,2652
6906,27624
12232,48928
13903,55612
12096,48384
13562,54248
12430,49720
4218,16872
1096,4384
10404,41616
3417,13668
5668,22672
11245,44980
8739,34956
11401,45604
12310,49240
9816,39264
10380,41520
-647,-2588
3084,12336
13285,53140
11349,45396
13012,52048
8650,34600
6303,25212
11265,45060
14731,58924
2711,10844
6155,24620
8369,33476
-877,-3508
13858,55432
11123,44492
9004,36016
14686,58744
7940,31760
103,412
2697,10788
6140,24560
16,64
4054,16216
5907,23628
11341,45364
11707,46828
10105,40420
12823,51292
1523,6092
2812,11248
1387,5548
9905,39620
7092,28368
2012,8048
1455,5820
5342,21368
1714,6856
1254,5016
5720,22880
-348,-1392
3641,14564
11285,45140
4288,17152
3163,12652
10317,41268
13327,53308
5990,23960
-510,-2040
4451,17804
13549,54196
3275,13100
70,280
9057,36228
5794,23176
2881,11524
3612,14448
13419,53676
7237,28948
2791,11164
-152,-608
14503,58012
7509,30036
4386,17544
12454,49816
3557,14228
10388,41552
10461,41844
11142,44568
4340,17360
14046,56184
6651,26604
14345,57380
7344,29376
7157,28628
10541,42164
14141,56564
-806,-3224
12209,48836
5620,22480
6407,25628
6398,25592
12996,51984
7764,31056
10179,40716
6069,24276
2752,11008
2711,10844
9725,38900
6808,27232
-387,-1548
511,2044
7200,28800
8841,35364
10938,43752
8896,35584
14329,57316
1830,7320
8378,33512
13967,55868
14497,57988
1387,5548
2112,8448
14000,56000
6297,25188
9780,39120
7181,28724
3673,14692
12049,48196
7210,28840
4065,16260
828,3312
4420,17680
-611,-2444
12082,48328
3109,12436
692,2768
1294,5176
10032,40128
7377,29508
14394,57576
9502,38008
1157,4628
3333,13332
2114,8456
5902,23608
10403,41612
6482,25928
-535,-2140
2215,8860
13655,54620
14381,57524
6895,27580
10956,43824
10027,40108
5222,20888
12482,49928
6707,26828
-930,-3720
886,3544
11203,44812
416,1664
962,3848
3345,13380
4060,16240
670,2680
10225,40900
7681,30724
11366,45464
1523,6092
7874,31496
6818,27272
6684,26736
1291,5164
3950,15800
13478,53912
7949,31796
13849,55396
8468,33872
1149,4596
6075,24300
10976,43904
12438,49752
2562,10248
3258,13032
1473,5892
3002,12008
8187,32748
708,2832
7425,29700
13926,55704
4758,19032
1782,7128
13823,55292
12819,51276
3345,13380
8258,33032
2086,8344
11462,45848
3781,15124
13261,53044
14076,56304
-201,-804
14901,59604
78,312
8067,32268
12475,49900
12223,48892
5869,23476
3074,12296
6913,27652
3973,15892
3763,15052
9406,37624
8013,32052
7159,28636
4346,17384
13813,55252
12079,48316
2250,9000
10068,40272
5326,21304
13689,54756
1141,4564
-905,-3620
5358,21432
13554,54216
8297,33188
7241,28964
827,3308
12656,50624
128,512
7641,30564
14373,57492
12896,51584
6762,27048
9352,37408
4210,16840
6921,27684
4475,17900
4392,17568
2576,10304
11439,45756
13311,53244
7872,31488
10894,43576
1509,6036
6680,26720
12750,51000
8524,34096
12098,48392
5437,21748
1992,7968
6086,24344
1796,7184
12639,50556
12232,48928
821,3284
4520,18080
2735,10940
7198,28792
4726,18904
12210,48840
12558,50232
2448,9792
6493,25972
735,2940
8373,33492
3003,12012
7542,30168
3282,13128
8018,32072
4312,17248
-739,-2956
2459,9836
668,2672
3926,15704
-900,-3600
2999,11996
9796,39184
4887,19548
10776,43104
7515,30060
8449,33796
43,172
6989,27956
3395,13580
-996,-3984
514,2056
14379,57516
10006,40024
13244,52976
-619,-2476
11401,45604
3853,15412
-76,-304
1050,4200
11193,44772
8973,35892
11357,45428
6477,25908
11959,47836
-19,-76
6600,26400
429,1716
6761,27044
11545,46180
1995,7980
12242,48968
13003,52012
9082,36328
469,1876
11104,44416
13172,52688
9437,37748
5243,20972
14425,57700
11929,47716
11121,44484
12499,49996
12253,49012
10877,43508
9739,38956
7008,28032
6386,25544
9359,37436
-445,-1780
3831,15324
-986,-3944
9903,39612
1356,5424
10001,40004
5811,23244
-763,-3052
3755,15020
14883,59532
5670,22680
2010,8040
5267,21068
11604,46416
6974,27896
10124,40496
2656,10624
11304,45216
8781,35124
1718,6872
3970,15880
4905,19620
4826,19304
12124,48496
10796,43184
12687,50748
14875,59500
4884,19536
-408,-1632
5726,22904
5413,21652
1506,6024
-210,-840
-201,-804
-79,-316
11466,45864
4173,16692
7298,29192
9062,36248
6788,27152
3431,13724
3046,12184
12350,49400
12405,49620
13656,54624
758,3032
196,784
2678,10712
3088,12352
7819,31276
11476,45904
1306,5224
7972,31888
668,2672
4384,17536
11460,45840
1079,4316
1576,6304
4728,18912
1121,4484
14728,58912
11060,44240
6496,25984
8275,33100
1088,4352
12744,50976
14148,56592
4002,16008
5815,23260
7959,31836
6862,27448
9459,37836
1988,7952
4473,17892
2807,11228
7444,29776
13693,54772
8580,34320
10262,41048
6017,24068
9080,36320
1594,6376
12819,51276
9284,37136
4043,16172
-352,-1408
10702,42808
1016,4064
10383,41532
14827,59308
12652,50608
3918,15672
12320,49280
2774,11096
13918,55672
4366,17464
3496,13984
13011,52044
10835,43340
6037,24148
4961,19844
723,2892
1100,4400
11437,45748
10611,42444
6162,24648
3794,15176
1137,4548
14809,59236
12382,49528
7635,30540
4036,16144
-301,-1204
8005,32020
8048,32192
8721,34884
12255,49020
9227,36908
2458,9832
3933,15732
5038,20152
5973,23892
12972,51888
11319,45276
-527,-2108
11583,46332
14714,58856
10953,43812
7801,31204
11235,44940
8793,35172
7168,28672
1683,6732
6294,25176
280,1120
2851,11404
2797,11188
354,1416
8254,33016
9600,38400
11675,46700
4828,19312
13847,55388
-21,-84
10477,41908
6035,24140
13079,52316
8553,34212
9097,36388
8255,33020
2354,9416
5072,20288
6587,26348
12005,48020
6861,27444
2603,10412
-466,-1864
5375,21500
1125,4500
2944,11776
8080,32320
4808,19232
13958,55832
9296,37184
4121,16484
1885,7540
1524,6096
12691,50764
1067,4268
5920,23680
7110,28440
4829,19316
1921,7684
-383,-1532
9325,37300
8436,33744
8709,34836
4725,18900
3677,14708
12098,48392
2193,8772
7825,31300
2999,11996
2717,10868
9903,39612
9453,37812
4109,16436
4311,17244
12806,51224
3395,13580
8038,32152
1199,4796
6912,27648
8556,34224
1987,7948
6539,26156
5745,22980
5003,20012
4635,18540
12689,50756
596,2384
4313,17252
